# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b_i = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 5.000000e-01
# l_fin_over_lb = 1.000000e+03
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
5.90428401e-01,1.61305579e+00,6.99990368e-10,5.57917820e+01,1.59042840e+00
5.91900351e-01,1.62346064e+00,7.13846139e-10,5.69993083e+01,1.59190035e+00
5.93359708e-01,1.63398159e+00,7.28103840e-10,5.82431326e+01,1.59335971e+00
5.94790519e-01,1.64450254e+00,7.42614219e-10,5.95102950e+01,1.59479052e+00
5.96193402e-01,1.65502349e+00,7.57381344e-10,6.08011910e+01,1.59619340e+00
5.97568962e-01,1.66554444e+00,7.72409351e-10,6.21162233e+01,1.59756896e+00
5.98932422e-01,1.67618069e+00,7.87871520e-10,6.34706187e+01,1.59893242e+00
6.00269152e-01,1.68681693e+00,8.03609033e-10,6.48505309e+01,1.60026915e+00
6.01579732e-01,1.69745318e+00,8.19626378e-10,6.62563977e+01,1.60157973e+00
6.02864727e-01,1.70808943e+00,8.35928125e-10,6.76886647e+01,1.60286473e+00
6.04138536e-01,1.71884373e+00,8.52704712e-10,6.91641336e+01,1.60413854e+00
6.05387309e-01,1.72959804e+00,8.69781673e-10,7.06675319e+01,1.60538731e+00
6.06611589e-01,1.74035234e+00,8.87163972e-10,7.21993446e+01,1.60661159e+00
6.07811907e-01,1.75110665e+00,9.04856658e-10,7.37600656e+01,1.60781191e+00
6.09000693e-01,1.76197092e+00,9.23050654e-10,7.53666106e+01,1.60900069e+00
6.10166070e-01,1.77283519e+00,9.41572036e-10,7.70036975e+01,1.61016607e+00
6.11308547e-01,1.78369946e+00,9.60426279e-10,7.86718628e+01,1.61130855e+00
6.12428619e-01,1.79456373e+00,9.79618956e-10,8.03716527e+01,1.61242862e+00
6.13538355e-01,1.80554380e+00,9.99365833e-10,8.21222583e+01,1.61353836e+00
6.14626186e-01,1.81652386e+00,1.01947013e-09,8.39063175e+01,1.61462619e+00
6.15692585e-01,1.82750393e+00,1.03993789e-09,8.57244247e+01,1.61569258e+00
6.16738015e-01,1.83848400e+00,1.06077528e-09,8.75771854e+01,1.61673802e+00
6.17773109e-01,1.84957421e+00,1.08220328e-09,8.94843363e+01,1.61777311e+00
6.18787727e-01,1.86066442e+00,1.10402132e-09,9.14281138e+01,1.61878773e+00
6.19782312e-01,1.87175463e+00,1.12623607e-09,9.34091758e+01,1.61978231e+00
6.20757298e-01,1.88284484e+00,1.14885433e-09,9.54281928e+01,1.62075730e+00
6.21723306e-01,1.89405459e+00,1.17213349e-09,9.75082373e+01,1.62172331e+00
6.22670146e-01,1.90526433e+00,1.19583923e-09,9.96284732e+01,1.62267015e+00
6.23598233e-01,1.91647407e+00,1.21997897e-09,1.01789631e+02,1.62359823e+00
6.24507974e-01,1.92768381e+00,1.24456021e-09,1.03992455e+02,1.62450797e+00
6.25408374e-01,1.93900290e+00,1.26983704e-09,1.06259816e+02,1.62540837e+00
6.26290867e-01,1.95032199e+00,1.29557988e-09,1.08571227e+02,1.62629087e+00
6.27155841e-01,1.96164108e+00,1.32179690e-09,1.10927497e+02,1.62715584e+00
6.28003673e-01,1.97296017e+00,1.34849641e-09,1.13329450e+02,1.62800367e+00
6.28842627e-01,1.98438785e+00,1.37595015e-09,1.15801643e+02,1.62884263e+00
6.29664855e-01,1.99581552e+00,1.40391318e-09,1.18322136e+02,1.62966486e+00
6.30470720e-01,2.00724320e+00,1.43239453e-09,1.20891826e+02,1.63047072e+00
6.31260576e-01,2.01867087e+00,1.46140341e-09,1.23511626e+02,1.63126058e+00
6.32042033e-01,2.03020692e+00,1.49123195e-09,1.26208042e+02,1.63204203e+00
6.32807873e-01,2.04174296e+00,1.52161740e-09,1.28957447e+02,1.63280787e+00
