# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1.1
# Delta_f0_over_b_i = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
4.04199802e-01,1.72662860e+00,4.09181205e-10,1.82312500e+01,1.40419980e+00
4.06576999e-01,1.73644264e+00,4.16539100e-10,1.85681810e+01,1.40657700e+00
4.08912304e-01,1.74625669e+00,4.23992527e-10,1.89091775e+01,1.40891230e+00
4.11206656e-01,1.75607074e+00,4.31542061e-10,1.92542577e+01,1.41120666e+00
4.13501915e-01,1.76606466e+00,4.39329317e-10,1.96098783e+01,1.41350192e+00
4.15756590e-01,1.77605858e+00,4.47217437e-10,1.99697722e+01,1.41575659e+00
4.17971593e-01,1.78605249e+00,4.55207030e-10,2.03339589e+01,1.41797159e+00
4.20147814e-01,1.79604641e+00,4.63298711e-10,2.07024579e+01,1.42014781e+00
4.22327060e-01,1.80623338e+00,4.71652406e-10,2.10825337e+01,1.42232706e+00
4.24467804e-01,1.81642036e+00,4.80113463e-10,2.14671309e+01,1.42446780e+00
4.26570915e-01,1.82660733e+00,4.88682538e-10,2.18562704e+01,1.42657092e+00
4.28637240e-01,1.83679431e+00,4.97360292e-10,2.22499729e+01,1.42863724e+00
4.30708349e-01,1.84718756e+00,5.06326450e-10,2.26563717e+01,1.43070835e+00
4.32742876e-01,1.85758081e+00,5.15407124e-10,2.30675639e+01,1.43274288e+00
4.34741647e-01,1.86797406e+00,5.24603019e-10,2.34835716e+01,1.43474165e+00
4.36705470e-01,1.87836731e+00,5.33914845e-10,2.39044172e+01,1.43670547e+00
4.38674626e-01,1.88897520e+00,5.43539267e-10,2.43389658e+01,1.43867463e+00
4.40609003e-01,1.89958309e+00,5.53285956e-10,2.47786009e+01,1.44060900e+00
4.42509392e-01,1.91019098e+00,5.63155673e-10,2.52233459e+01,1.44250939e+00
4.44376559e-01,1.92079888e+00,5.73149182e-10,2.56732249e+01,1.44437656e+00
4.46249964e-01,1.93163259e+00,5.83484009e-10,2.61380047e+01,1.44624996e+00
4.48090272e-01,1.94246631e+00,5.93949569e-10,2.66081892e+01,1.44809027e+00
4.49898238e-01,1.95330003e+00,6.04546683e-10,2.70838038e+01,1.44989824e+00
4.51674593e-01,1.96413375e+00,6.15276175e-10,2.75648738e+01,1.45167459e+00
4.53456945e-01,1.97519852e+00,6.26371999e-10,2.80618615e+01,1.45345695e+00
4.55207807e-01,1.98626329e+00,6.37607646e-10,2.85645933e+01,1.45520781e+00
4.56927896e-01,1.99732806e+00,6.48984000e-10,2.90730963e+01,1.45692790e+00
4.58617911e-01,2.00839283e+00,6.60501948e-10,2.95873977e+01,1.45861791e+00
4.60315005e-01,2.01970281e+00,6.72422403e-10,3.01191173e+01,1.46031501e+00
4.61982093e-01,2.03101278e+00,6.84492673e-10,3.06569523e+01,1.46198209e+00
4.63619860e-01,2.04232276e+00,6.96713710e-10,3.12009319e+01,1.46361986e+00
4.65228975e-01,2.05363273e+00,7.09086473e-10,3.17510851e+01,1.46522898e+00
4.66845264e-01,2.06519660e+00,7.21894862e-10,3.23200021e+01,1.46684526e+00
4.68432952e-01,2.07676047e+00,7.34863889e-10,3.28954343e+01,1.46843295e+00
4.69992694e-01,2.08832434e+00,7.47994582e-10,3.34774129e+01,1.46999269e+00
4.71525128e-01,2.09988822e+00,7.61287974e-10,3.40659692e+01,1.47152513e+00
4.73064594e-01,2.11171339e+00,7.75051079e-10,3.46746593e+01,1.47306459e+00
4.74576796e-01,2.12353856e+00,7.88986503e-10,3.52902933e+01,1.47457680e+00
4.76062360e-01,2.13536373e+00,8.03095356e-10,3.59129045e+01,1.47606236e+00
4.77521894e-01,2.14718890e+00,8.17378751e-10,3.65425265e+01,1.47752189e+00
4.78988648e-01,2.15928577e+00,8.32172094e-10,3.71939038e+01,1.47898865e+00
4.80429397e-01,2.17138264e+00,8.47150450e-10,3.78526881e+01,1.48042940e+00
4.81844741e-01,2.18347951e+00,8.62315017e-10,3.85189150e+01,1.48184474e+00
4.83235261e-01,2.19557638e+00,8.77666999e-10,3.91926205e+01,1.48323526e+00
4.84632807e-01,2.20795273e+00,8.93568883e-10,3.98896681e+01,1.48463281e+00
4.86005549e-01,2.22032908e+00,9.09669487e-10,4.05946193e+01,1.48600555e+00
4.87354060e-01,2.23270544e+00,9.25970102e-10,4.13075122e+01,1.48735406e+00
4.88678896e-01,2.24508179e+00,9.42472028e-10,4.20283854e+01,1.48867890e+00
4.90010852e-01,2.25774840e+00,9.59570766e-10,4.27744680e+01,1.49001085e+00
4.91319139e-01,2.27041501e+00,9.76883116e-10,4.35289904e+01,1.49131914e+00
4.92604302e-01,2.28308162e+00,9.94410474e-10,4.42919935e+01,1.49260430e+00
4.93866875e-01,2.29574822e+00,1.01215424e-09,4.50635187e+01,1.49386687e+00
4.95136350e-01,2.30871339e+00,1.03054182e-09,4.58620977e+01,1.49513635e+00
4.96383237e-01,2.32167856e+00,1.04915911e-09,4.66696918e+01,1.49638324e+00
4.97608057e-01,2.33464373e+00,1.06800760e-09,4.74863450e+01,1.49760806e+00
4.98811320e-01,2.34760890e+00,1.08708881e-09,4.83121014e+01,1.49881132e+00
5.00020654e-01,2.36087434e+00,1.10685438e-09,4.91664497e+01,1.50002065e+00
5.01208451e-01,2.37413978e+00,1.12686678e-09,5.00304206e+01,1.50120845e+00
5.02375211e-01,2.38740521e+00,1.14712763e-09,5.09040609e+01,1.50237521e+00
5.03521420e-01,2.40067065e+00,1.16763856e-09,5.17874180e+01,1.50352142e+00
5.04674223e-01,2.41425316e+00,1.18890056e-09,5.27020057e+01,1.50467422e+00
5.05806467e-01,2.42783566e+00,1.21042819e-09,5.36268795e+01,1.50580647e+00
5.06918628e-01,2.44141817e+00,1.23222322e-09,5.45620898e+01,1.50691863e+00
5.08011172e-01,2.45500067e+00,1.25428740e-09,5.55076870e+01,1.50801117e+00
5.09109958e-01,2.46890763e+00,1.27715934e-09,5.64866867e+01,1.50910996e+00
5.10189121e-01,2.48281458e+00,1.30031719e-09,5.74766820e+01,1.51018912e+00
5.11249118e-01,2.49672154e+00,1.32376282e-09,5.84777267e+01,1.51124912e+00
5.12290391e-01,2.51062849e+00,1.34749814e-09,5.94898750e+01,1.51229039e+00
5.13337654e-01,2.52486852e+00,1.37210410e-09,6.05378264e+01,1.51333765e+00
5.14366188e-01,2.53910855e+00,1.39701782e-09,6.15975335e+01,1.51436619e+00
